username,department,role,event_type,hour,failed_logins_10m,denied_accesses_10m,unique_resources_30m,off_hours,role_mismatch,device_mismatch,recent_password_reset,successful_recovery,department_resource_mismatch,resource_sensitivity,recent_endpoints_used,time_since_last_event_seconds,sequence_pattern,historical_user_deviation,user_baseline_risk,repeated_resource_accesses,resource_traversal_count,label
ryan,it,Network Administrator,file_access_success,11,0,0,4,0,0,0,0,0,0,2,1,458,normal_login_access,0.045,0.125,4,3,normal
ella,sales,Senior Sales Executive,login_success,12,0,0,5,0,0,0,0,0,0,3,1,1295,normal_login_access,0.161,0.135,0,3,normal
amelia,hr,Senior HR Advisor,file_access_success,11,0,0,2,0,0,0,0,0,0,1,1,1145,repeated_legitimate_access,0.017,0.127,4,2,normal
alex,it,IT Manager,file_access_success,7,0,0,1,1,0,0,0,0,0,2,1,904,routine_access,0.094,0.167,3,1,normal
sarah,hr,HR Manager,login_success,15,0,0,3,0,0,0,0,0,0,2,1,944,repeated_legitimate_access,0.017,0.085,1,3,normal
sam,it,Junior IT Support Technician,login_success,10,0,0,1,0,0,0,0,0,0,2,1,1380,normal_login_access,0.095,0.131,1,3,normal
sam,it,Junior IT Support Technician,file_access_success,11,0,1,4,0,0,0,0,0,0,2,1,911,normal_login_access,0.231,0.192,0,2,normal
charlie,sales,Sales Support Assistant,file_access_success,18,0,0,1,1,0,0,0,0,0,2,1,715,normal_login_access,0.18,0.138,1,1,normal
adam,it,Senior IT Support Engineer,login_success,17,2,0,3,0,0,0,0,1,0,1,1,635,repeated_legitimate_access,0.24,0.03,0,1,normal
freya,sales,Sales Executive,login_success,11,0,0,1,0,0,0,0,0,0,2,1,1455,repeated_legitimate_access,0.229,0.152,3,3,normal
ryan,it,Network Administrator,login_success,16,0,0,3,0,0,0,0,0,0,3,1,1793,normal_login_access,0.194,0.102,1,2,normal
lucas,sales,Sales Manager,login_success,11,0,0,3,0,0,0,0,0,0,2,1,1425,routine_access,0.207,0.165,2,1,normal
jack,sales,Senior Sales Executive,file_access_success,18,0,0,1,0,0,0,0,0,0,1,1,548,normal_login_access,0.239,0.149,2,3,normal
george,sales,Business Development Executive,file_access_success,18,0,1,5,0,0,0,0,0,0,3,1,1634,normal_login_access,0.026,0.123,3,1,normal
poppy,sales,Sales Administrator,login_success,11,0,0,2,0,0,0,0,0,0,2,1,893,routine_access,0.22,0.05,3,1,normal
callum,it,IT Support Technician,login_success,13,0,0,4,0,0,0,0,0,0,1,1,1114,normal_login_access,0.204,0.127,1,2,normal
leo,hr,Learning and Development Coordinator,login_success,17,0,0,1,0,0,0,0,0,0,1,1,1551,repeated_legitimate_access,0.034,0.047,4,3,normal
ethan,hr,HR Advisor,login_success,9,0,0,4,0,1,0,0,0,0,2,1,1425,normal_login_access,0.013,0.068,3,3,normal
ethan,hr,HR Advisor,file_access_success,12,0,0,3,0,0,0,0,0,0,2,1,959,routine_access,0.133,0.126,0,2,normal
megan,it,IT Support Engineer,file_access_success,14,0,0,3,0,0,0,0,0,0,2,1,1638,routine_access,0.194,0.041,3,1,normal
ben,office_admin,Deputy Office Manager,file_access_success,9,0,0,1,0,0,0,0,0,0,1,1,1098,repeated_legitimate_access,0.166,0.035,2,2,normal
ethan,hr,HR Advisor,file_access_success,6,0,0,1,1,0,0,0,0,0,3,1,84,repeated_legitimate_access,0.225,0.148,3,2,normal
millie,sales,Account Executive,login_success,12,0,0,1,0,0,0,0,0,0,1,1,1791,routine_access,0.071,0.166,0,2,normal
chloe,hr,HR Advisor,file_access_success,11,0,0,1,0,0,0,0,0,0,2,1,821,repeated_legitimate_access,0.203,0.142,4,1,normal
chloe,hr,HR Advisor,login_success,12,0,0,1,0,0,0,0,0,0,1,1,453,repeated_legitimate_access,0.081,0.073,3,2,normal
mason,hr,Recruitment Coordinator,login_success,15,0,0,2,0,0,0,0,0,0,3,1,1056,routine_access,0.071,0.053,1,3,normal
isla,hr,Recruitment Advisor,file_access_success,14,1,0,5,0,0,0,0,1,0,1,1,403,routine_access,0.178,0.075,2,2,normal
ethan,hr,HR Advisor,login_success,11,0,0,4,0,0,0,0,0,0,2,1,1688,normal_login_access,0.158,0.157,3,3,normal
nina,office_admin,Site Administrator,file_access_success,11,0,0,1,0,0,0,0,0,0,2,1,1395,routine_access,0.242,0.073,1,1,normal
sam,it,Junior IT Support Technician,file_access_success,16,1,0,3,0,0,0,0,1,0,3,1,205,normal_login_access,0.091,0.184,0,2,normal
freya,sales,Sales Executive,file_access_success,16,0,0,5,0,0,0,1,0,1,1,1,1081,routine_access,0.09,0.131,3,2,normal
sarah,hr,HR Manager,login_success,16,0,0,5,0,0,0,0,0,0,1,1,1761,repeated_legitimate_access,0.108,0.035,1,1,normal
olivia,finance,Financial Reporting Accountant,login_success,12,0,0,2,0,0,0,0,0,1,2,2,330,routine_access,0.218,0.192,2,3,normal
jack,sales,Senior Sales Executive,file_access_success,18,0,0,3,0,0,0,1,1,0,1,1,98,normal_login_access,0.142,0.064,0,1,normal
ava,hr,Employee Relations Advisor,login_success,12,0,0,2,0,0,0,0,0,0,2,1,608,repeated_legitimate_access,0.121,0.185,0,1,normal
archie,hr,HR Assistant,login_success,17,0,0,5,0,0,0,0,0,1,2,1,1459,repeated_legitimate_access,0.191,0.002,4,1,normal
freya,sales,Sales Executive,login_success,14,0,0,3,0,0,0,0,0,0,1,2,243,repeated_legitimate_access,0.14,0.051,3,2,normal
daniel,finance,Senior Accountant,login_success,11,0,0,3,0,0,0,0,0,0,2,1,359,repeated_legitimate_access,0.078,0.132,0,1,normal
ruby,sales,Sales Executive,file_access_success,13,0,0,5,0,0,0,1,1,0,3,1,1065,routine_access,0.215,0.114,1,2,normal
amelia,hr,Senior HR Advisor,file_access_success,8,0,0,3,0,0,0,0,0,0,1,1,183,routine_access,0.172,0.119,4,3,normal
emma,finance,Accounts Payable Assistant,login_success,12,0,0,1,0,0,0,0,0,0,3,1,202,normal_login_access,0.13,0.145,3,3,normal
daniel,finance,Senior Accountant,login_success,15,0,0,4,0,1,0,0,0,0,2,1,337,normal_login_access,0.066,0.149,3,3,normal
callum,it,IT Support Technician,login_success,12,1,0,3,0,0,0,0,1,0,3,1,977,normal_login_access,0.164,0.057,4,1,normal
jake,finance,Financial Analyst,login_success,17,0,0,2,0,0,0,0,0,0,2,2,123,normal_login_access,0.21,0.074,1,1,normal
henry,sales,Account Executive,file_access_success,16,0,0,1,0,0,0,0,0,0,2,1,183,routine_access,0.152,0.025,4,3,normal
lily,hr,HR Assistant,file_access_success,16,0,0,2,0,1,0,0,0,0,3,1,1434,repeated_legitimate_access,0.194,0.011,2,2,normal
olivia,finance,Financial Reporting Accountant,login_success,15,0,0,2,0,0,0,0,0,0,2,1,1744,normal_login_access,0.073,0.186,0,3,normal
amelia,hr,Senior HR Advisor,login_success,17,0,0,5,0,0,0,0,0,0,2,1,1789,repeated_legitimate_access,0.201,0.08,0,2,normal
ryan,it,Network Administrator,login_success,16,0,0,5,0,0,0,0,0,0,2,1,493,routine_access,0.137,0.018,0,1,normal
olivia,finance,Financial Reporting Accountant,login_success,6,0,0,2,1,0,0,0,0,0,3,1,1733,routine_access,0.1,0.165,3,3,normal
lucy,it,Monitoring and Logging Analyst,file_access_success,11,0,0,5,0,0,0,0,0,0,1,1,738,repeated_legitimate_access,0.051,0.072,3,2,normal
hannah,it,Security Administrator,login_success,15,0,0,5,0,0,0,0,0,0,2,2,1413,normal_login_access,0.204,0.148,3,2,normal
ethan,hr,HR Advisor,file_access_success,12,0,0,1,0,0,0,0,0,0,2,1,678,repeated_legitimate_access,0.162,0.099,3,1,normal
noah,finance,Credit Controller,file_access_success,12,1,0,4,0,0,0,0,1,0,2,1,290,repeated_legitimate_access,0.107,0.064,3,1,normal
jack,sales,Senior Sales Executive,login_success,10,0,0,1,0,0,0,0,0,0,1,2,1377,repeated_legitimate_access,0.09,0.165,1,3,normal
noah,finance,Credit Controller,login_success,15,0,0,3,0,0,0,0,0,0,3,1,1661,normal_login_access,0.056,0.196,3,3,normal
megan,it,IT Support Engineer,login_success,9,0,0,4,0,0,0,0,0,0,3,1,214,normal_login_access,0.187,0.04,0,2,normal
sophie,finance,Payroll Administrator,file_access_success,13,0,0,5,0,0,0,0,0,0,1,2,221,repeated_legitimate_access,0.053,0.194,1,2,normal
ava,hr,Employee Relations Advisor,file_access_success,14,0,0,1,0,0,0,0,0,0,3,1,389,repeated_legitimate_access,0.096,0.18,4,1,normal
owen,it,Endpoint Administrator,login_success,17,0,0,3,0,0,0,0,0,0,1,1,448,normal_login_access,0.234,0.085,3,3,normal
hannah,it,Security Administrator,login_success,16,0,0,1,0,0,0,0,0,0,2,1,592,routine_access,0.012,0.073,2,3,normal
nina,office_admin,Site Administrator,file_access_success,14,0,0,3,0,0,0,0,0,1,2,1,36,repeated_legitimate_access,0.203,0.042,2,1,normal
ruby,sales,Sales Executive,login_success,14,0,0,3,0,0,0,0,0,0,1,1,1109,normal_login_access,0.164,0.025,4,2,normal
nathan,it,Senior Systems Administrator,login_success,8,0,0,1,0,0,0,0,0,1,3,1,1263,repeated_legitimate_access,0.214,0.021,0,3,normal
olivia,finance,Financial Reporting Accountant,file_access_success,15,0,0,3,0,0,0,0,0,0,1,1,1498,routine_access,0.157,0.186,1,3,normal
chloe,hr,HR Advisor,file_access_success,20,0,0,4,1,0,0,0,0,0,3,1,1602,routine_access,0.066,0.177,0,3,normal
owen,it,Endpoint Administrator,login_success,17,0,0,2,0,0,0,0,0,0,1,1,554,repeated_legitimate_access,0.233,0.184,0,3,normal
alfie,sales,Sales Executive,login_success,14,0,0,5,0,0,0,0,0,0,3,1,208,repeated_legitimate_access,0.197,0.046,1,2,normal
mason,hr,Recruitment Coordinator,file_access_success,11,0,0,4,0,0,0,0,0,0,2,1,694,routine_access,0.056,0.103,1,2,normal
sophie,finance,Payroll Administrator,login_success,13,0,0,2,0,0,0,0,0,0,2,1,55,normal_login_access,0.16,0.09,4,3,normal
poppy,sales,Sales Administrator,file_access_success,16,0,0,4,0,0,0,0,0,0,1,1,703,repeated_legitimate_access,0.185,0.085,1,3,normal
archie,hr,HR Assistant,login_success,17,0,0,1,0,0,0,0,0,0,2,1,985,routine_access,0.072,0.027,0,1,normal
poppy,sales,Sales Administrator,login_success,12,0,0,4,0,0,0,0,0,0,1,1,1643,repeated_legitimate_access,0.051,0.144,4,3,normal
olivia,finance,Financial Reporting Accountant,login_success,10,0,0,3,0,0,0,0,0,0,2,2,196,normal_login_access,0.169,0.1,1,3,normal
ryan,it,Network Administrator,login_success,17,1,0,5,0,0,0,0,1,0,2,1,567,routine_access,0.056,0.087,2,3,normal
sarah,hr,HR Manager,login_success,9,0,0,3,0,0,0,0,0,1,1,1,830,normal_login_access,0.023,0.062,3,3,normal
lily,hr,HR Assistant,file_access_success,9,0,0,5,0,0,0,1,1,0,1,1,1512,repeated_legitimate_access,0.002,0.191,3,1,normal
sarah,hr,HR Manager,file_access_success,10,0,0,3,0,0,0,0,0,0,3,1,1381,routine_access,0.05,0.083,3,1,normal
alex,it,IT Manager,file_access_success,17,0,0,2,0,0,0,0,0,0,3,1,1385,normal_login_access,0.143,0.065,0,1,normal
mia,hr,HR Administrator,file_access_success,9,0,0,1,0,0,0,0,0,0,2,1,1663,normal_login_access,0.019,0.148,0,2,normal
freya,sales,Sales Executive,login_success,11,0,0,3,0,0,0,0,0,0,1,1,147,routine_access,0.089,0.089,1,3,normal
erin,it,Identity and Access Administrator,login_success,11,0,0,3,0,0,0,0,0,0,3,1,1056,routine_access,0.048,0.111,2,1,normal
charlie,sales,Sales Support Assistant,file_access_success,14,0,0,3,0,0,0,0,0,0,1,1,149,routine_access,0.075,0.177,4,1,normal
poppy,sales,Sales Administrator,login_success,14,0,0,5,0,0,0,0,0,0,2,1,1251,repeated_legitimate_access,0.174,0.194,1,3,normal
callum,it,IT Support Technician,file_access_success,17,0,0,2,0,0,0,0,0,0,1,1,1149,repeated_legitimate_access,0.014,0.142,0,1,normal
oscar,sales,Sales Executive,login_success,12,0,0,4,0,0,0,0,0,0,2,1,937,repeated_legitimate_access,0.194,0.091,0,2,normal
henry,sales,Account Executive,file_access_success,16,0,0,5,0,0,0,0,0,0,1,1,356,routine_access,0.166,0.119,3,1,normal
olivia,finance,Financial Reporting Accountant,login_success,15,0,0,3,0,0,0,0,0,0,2,2,767,normal_login_access,0.207,0.195,0,3,normal
charlie,sales,Sales Support Assistant,file_access_success,10,1,0,3,0,0,0,0,1,0,1,1,65,normal_login_access,0.135,0.093,2,1,normal
adam,it,Senior IT Support Engineer,login_success,17,0,0,3,0,0,0,0,0,0,2,1,748,normal_login_access,0.027,0.107,0,1,normal
sam,it,Junior IT Support Technician,login_success,12,0,0,4,0,0,0,0,0,0,1,1,140,routine_access,0.102,0.134,3,2,normal
ella,sales,Senior Sales Executive,login_success,10,0,0,2,0,0,0,0,0,0,2,1,640,repeated_legitimate_access,0.173,0.02,0,3,normal
mason,hr,Recruitment Coordinator,file_access_success,10,0,0,3,0,0,0,0,0,0,1,1,655,normal_login_access,0.223,0.041,4,2,normal
ryan,it,Network Administrator,file_access_success,6,0,0,5,1,0,0,0,0,0,3,1,254,normal_login_access,0.214,0.117,0,2,normal
lily,hr,HR Assistant,file_access_success,11,0,0,5,0,0,0,0,0,0,2,1,1247,repeated_legitimate_access,0.18,0.172,0,3,normal
daisy,sales,Business Development Executive,file_access_success,16,0,0,2,0,0,0,0,0,0,1,1,1061,repeated_legitimate_access,0.122,0.056,2,2,normal
daniel,finance,Senior Accountant,file_access_success,10,0,0,5,0,0,0,0,0,0,2,1,1126,routine_access,0.248,0.132,3,3,normal
lucy,it,Monitoring and Logging Analyst,login_success,14,0,0,2,0,0,0,0,0,0,2,1,1264,repeated_legitimate_access,0.106,0.048,4,1,normal
noah,finance,Credit Controller,file_access_success,15,0,0,5,0,0,0,0,0,0,1,1,746,repeated_legitimate_access,0.04,0.187,1,1,normal
ryan,it,Network Administrator,login_success,11,1,0,1,0,0,0,0,1,0,2,1,918,normal_login_access,0.026,0.097,1,3,normal
theo,sales,Junior Sales Executive,login_success,14,0,0,5,0,0,0,0,0,0,2,1,1615,routine_access,0.148,0.089,4,3,normal
ava,hr,Employee Relations Advisor,file_access_success,9,0,0,2,0,0,0,0,0,0,3,1,1135,repeated_legitimate_access,0.041,0.055,0,1,normal
rosie,sales,Sales Support Coordinator,file_access_success,16,0,0,4,0,0,0,0,0,0,1,1,612,repeated_legitimate_access,0.018,0.091,2,2,normal
lily,hr,HR Assistant,file_access_success,11,0,0,3,0,0,0,0,0,0,2,1,974,repeated_legitimate_access,0.131,0.126,4,3,normal
lucy,it,Monitoring and Logging Analyst,login_success,16,0,0,3,0,0,0,0,0,0,2,1,1585,repeated_legitimate_access,0.233,0.035,4,3,normal
archie,hr,HR Assistant,file_access_success,17,0,0,4,0,0,0,0,0,0,3,1,788,routine_access,0.09,0.03,3,3,normal
alfie,sales,Sales Executive,file_access_success,13,0,0,5,0,0,0,0,0,0,1,1,326,routine_access,0.168,0.08,1,3,normal
nina,office_admin,Site Administrator,login_success,15,0,0,1,0,0,0,0,0,0,2,1,243,repeated_legitimate_access,0.241,0.006,0,2,normal
ethan,hr,HR Advisor,login_success,19,0,0,5,1,0,0,0,0,0,2,1,332,repeated_legitimate_access,0.089,0.174,2,2,normal
hannah,it,Security Administrator,login_success,12,1,0,3,0,0,0,0,1,0,1,1,1453,normal_login_access,0.05,0.14,4,2,normal
callum,it,IT Support Technician,file_access_success,12,0,0,2,0,0,0,0,0,0,3,1,714,normal_login_access,0.094,0.034,2,2,normal
adam,it,Senior IT Support Engineer,file_access_success,9,1,0,5,0,0,0,0,1,0,1,1,1296,normal_login_access,0.033,0.029,0,1,normal
rosie,sales,Sales Support Coordinator,login_success,9,0,0,4,0,0,0,0,0,0,2,1,1592,normal_login_access,0.005,0.2,0,2,normal
owen,it,Endpoint Administrator,login_success,11,0,0,3,0,0,0,0,0,0,3,1,870,routine_access,0.177,0.135,3,1,normal
sam,it,Junior IT Support Technician,file_access_success,14,0,0,4,0,0,0,0,0,0,2,1,1239,routine_access,0.202,0.185,4,1,normal
harry,hr,People Operations Administrator,login_success,6,0,0,2,1,1,0,0,0,0,1,1,1254,normal_login_access,0.019,0.125,2,2,normal
sarah,hr,HR Manager,login_success,9,0,0,4,0,0,0,0,0,0,1,1,981,normal_login_access,0.001,0.009,1,1,normal
charlie,sales,Sales Support Assistant,login_success,15,0,0,3,0,0,0,0,0,0,3,1,1295,normal_login_access,0.009,0.143,1,2,normal
erin,it,Identity and Access Administrator,file_access_success,15,0,0,4,0,0,0,0,0,0,1,1,1268,normal_login_access,0.044,0.177,3,1,normal
ben,office_admin,Deputy Office Manager,login_success,8,0,0,4,0,0,0,0,0,0,1,1,1020,repeated_legitimate_access,0.172,0.041,0,3,normal
grace,finance,Finance Manager,file_access_success,7,0,0,1,1,0,0,0,0,0,3,2,1624,repeated_legitimate_access,0.12,0.053,1,2,normal
jack,sales,Senior Sales Executive,file_access_success,14,0,0,2,0,0,0,0,0,0,3,1,859,repeated_legitimate_access,0.219,0.084,3,1,normal
callum,it,IT Support Technician,file_access_success,14,0,0,4,0,0,0,0,0,0,2,1,1579,routine_access,0.055,0.092,1,2,normal
mason,hr,Recruitment Coordinator,login_success,17,0,0,2,0,0,0,0,0,0,1,1,464,normal_login_access,0.216,0.18,3,2,normal
mason,hr,Recruitment Coordinator,login_success,18,0,0,2,0,0,0,0,0,0,2,1,1670,routine_access,0.068,0.148,2,3,normal
theo,sales,Junior Sales Executive,file_access_success,14,0,0,4,0,0,0,0,0,0,3,1,359,routine_access,0.139,0.199,2,3,normal
sophie,finance,Payroll Administrator,file_access_success,12,0,0,4,0,0,0,0,0,0,1,1,738,routine_access,0.108,0.045,0,3,normal
ben,office_admin,Deputy Office Manager,file_access_success,9,1,0,2,0,0,0,0,1,0,1,1,1451,routine_access,0.086,0.121,2,3,normal
adam,it,Senior IT Support Engineer,file_access_success,15,2,0,5,0,0,0,0,1,0,2,1,654,routine_access,0.026,0.141,1,3,normal
alfie,sales,Sales Executive,login_success,17,0,0,2,0,0,0,0,0,0,1,1,366,routine_access,0.121,0.17,3,3,normal
poppy,sales,Sales Administrator,login_success,16,0,1,4,0,0,0,0,0,0,3,1,812,routine_access,0.005,0.107,1,3,normal
harry,hr,People Operations Administrator,file_access_success,18,0,0,1,1,0,0,0,0,0,2,1,1032,routine_access,0.119,0.189,3,2,normal
victoria,office_admin,Office Manager,login_success,18,0,0,4,0,0,0,0,0,0,1,1,863,repeated_legitimate_access,0.225,0.003,2,1,normal
sophie,finance,Payroll Administrator,login_success,7,0,0,3,1,0,0,1,1,0,2,1,1742,normal_login_access,0.01,0.035,0,3,normal
leo,hr,Learning and Development Coordinator,file_access_success,17,0,0,1,0,0,0,0,0,0,3,1,965,repeated_legitimate_access,0.038,0.029,0,3,normal
mason,hr,Recruitment Coordinator,login_success,16,0,1,3,0,0,0,0,0,0,1,1,1627,repeated_legitimate_access,0.003,0.023,4,1,normal
ava,hr,Employee Relations Advisor,file_access_success,18,0,0,2,1,0,0,0,0,0,3,1,73,normal_login_access,0.198,0.122,0,2,normal
jack,sales,Senior Sales Executive,file_access_success,15,0,0,1,0,0,0,0,0,0,2,1,797,normal_login_access,0.063,0.131,2,3,normal
sarah,hr,HR Manager,login_success,12,0,0,1,0,0,0,0,0,0,2,1,1116,normal_login_access,0.119,0.065,2,3,normal
ava,hr,Employee Relations Advisor,file_access_success,15,0,1,1,0,0,0,0,0,0,2,1,1618,normal_login_access,0.008,0.096,3,3,normal
leo,hr,Learning and Development Coordinator,login_success,10,0,0,3,0,0,0,0,0,0,3,1,1566,routine_access,0.091,0.023,1,1,normal
rosie,sales,Sales Support Coordinator,login_success,13,0,0,5,0,0,0,0,0,0,2,1,745,routine_access,0.074,0.058,1,2,normal
mason,hr,Recruitment Coordinator,login_success,12,0,0,5,0,0,0,0,0,0,3,1,551,repeated_legitimate_access,0.095,0.163,3,2,normal
zoe,it,Systems Administrator,file_access_success,12,0,0,5,0,0,0,0,0,0,1,1,1616,normal_login_access,0.185,0.029,2,3,normal
isla,hr,Recruitment Advisor,login_success,15,0,0,1,0,0,0,0,0,0,2,1,525,routine_access,0.161,0.003,1,1,normal
erin,it,Identity and Access Administrator,file_access_success,14,0,0,2,0,0,0,0,0,0,1,2,1094,normal_login_access,0.217,0.165,3,3,normal
george,sales,Business Development Executive,file_access_success,10,0,0,4,0,0,0,0,0,0,3,1,813,routine_access,0.17,0.136,3,3,normal
george,sales,Business Development Executive,login_success,12,0,0,5,0,0,0,0,0,0,2,1,281,routine_access,0.06,0.087,4,3,normal
henry,sales,Account Executive,login_success,9,0,0,2,0,0,0,0,0,0,2,1,893,routine_access,0.01,0.071,1,2,normal
harry,hr,People Operations Administrator,login_success,13,1,0,5,0,0,0,0,1,0,1,1,1302,normal_login_access,0.004,0.114,1,2,normal
leo,hr,Learning and Development Coordinator,file_access_success,7,0,0,1,1,0,0,0,0,0,1,1,343,routine_access,0.03,0.029,4,3,normal
archie,hr,HR Assistant,login_success,9,0,1,2,0,0,0,0,0,0,2,1,1190,routine_access,0.084,0.155,4,2,normal
isla,hr,Recruitment Advisor,file_access_success,16,0,0,1,0,0,0,0,0,0,1,1,1465,routine_access,0.249,0.126,2,2,normal
jack,sales,Senior Sales Executive,file_access_success,13,0,0,2,0,0,0,0,0,0,3,1,112,normal_login_access,0.114,0.017,2,3,normal
lucy,it,Monitoring and Logging Analyst,login_success,14,0,0,5,0,0,0,0,0,0,2,1,242,normal_login_access,0.026,0.142,1,1,normal
millie,sales,Account Executive,login_success,10,0,0,5,0,0,0,0,0,0,1,1,676,repeated_legitimate_access,0.156,0.049,2,3,normal
megan,it,IT Support Engineer,file_access_success,17,0,0,2,0,0,0,0,0,0,3,1,1520,normal_login_access,0.236,0.024,3,3,normal
liam,finance,Finance Assistant,file_access_success,11,0,0,4,0,0,0,0,0,0,3,2,70,repeated_legitimate_access,0.071,0.105,1,2,normal
oscar,sales,Sales Executive,login_success,9,0,0,5,0,0,0,0,0,0,1,1,783,routine_access,0.143,0.111,4,2,normal
adam,it,Senior IT Support Engineer,login_success,10,1,0,2,0,0,0,0,1,0,1,1,521,routine_access,0.022,0.077,0,2,normal
ava,hr,Employee Relations Advisor,login_success,8,0,0,5,0,0,0,0,0,0,1,1,748,repeated_legitimate_access,0.095,0.073,4,1,normal
ava,hr,Employee Relations Advisor,login_success,10,1,0,1,0,0,0,0,1,0,3,2,818,routine_access,0.125,0.16,1,3,normal
leo,hr,Learning and Development Coordinator,login_success,11,0,0,5,0,0,0,0,0,0,3,1,1286,repeated_legitimate_access,0.192,0.124,4,1,normal
millie,sales,Account Executive,file_access_success,9,0,0,4,0,1,0,0,0,0,1,1,408,routine_access,0.151,0.148,1,1,normal
mia,hr,HR Administrator,file_access_success,16,0,0,2,0,0,0,0,0,0,1,1,1523,normal_login_access,0.021,0.068,0,1,normal
harry,hr,People Operations Administrator,file_access_success,9,0,0,1,0,0,0,0,0,0,3,1,646,repeated_legitimate_access,0.228,0.099,4,1,normal
